Sheet,Cell,Value,Formula
Calculation Debt,J14,"=ROUND(I14,0)*I12","=ROUND(I14,0)*I12"
Calculation Debt,K14,PV1 ,
Calculation Debt,B15,Tariff - power used on site (p/kWh),
Calculation Debt,C15,=Summary!D18,=Summary!D18
Calculation Debt,E15,Annual Interter Maintenance Reserve account,
Calculation Debt,H15,"=IFERROR(H11/H12,0)","=IFERROR(H11/H12,0)"
Calculation Debt,B16,Inflation costs (RPI),
Calculation Debt,C16,0.025,
Calculation Debt,D16,0.025,
Calculation Debt,E16,Annual Battery Maintenance Reserve account,
Calculation Debt,H16,"=IFERROR(H13/H14,0)","=IFERROR(H13/H14,0)"
Calculation Debt,B17,Inflation Export Tariff,
Calculation Debt,C17,0.025,
Calculation Debt,D17,0.025,
Calculation Debt,J17,=$D$7*$H$22*(1+$C$16)^(D42-1)*(D42<=$C$19),=$D$7*$H$22*(1+$C$16)^(D42-1)*(D42<=$C$19)
Calculation Debt,B18,Inflation PPA,
Calculation Debt,C18,0.025,
Calculation Debt,D18,0.025,
Calculation Debt,B19,Project life (years),
Calculation Debt,C19,='Auto Calculate'!F11,='Auto Calculate'!F11
Calculation Debt,D19,='Auto Calculate'!F11,='Auto Calculate'!F11
Calculation Debt,E19,Annual Costs,
Calculation Debt,H19,Years 1- 3,
Calculation Debt,I19,Years 4 - onwards,
Calculation Debt,B20,Projects per SPV,
Calculation Debt,C20,1,
Calculation Debt,E20,Billing costs,
Calculation Debt,H20,400,
Calculation Debt,I20,100,
Calculation Debt,E21,Asset management cost / kWp,
Calculation Debt,H21,0,
Calculation Debt,E22,O&M (£/kWp),
Calculation Debt,H22,=Summary!Q24,=Summary!Q24
Calculation Debt,E23,Insurance (£/kWp),
Calculation Debt,H23,=3.75*(1+$I$35),=3.75*(1+$I$35)
Calculation Debt,E24,Business Rates (£/kWp),
Calculation Debt,H24,=1.215*(1+$I$35),=1.215*(1+$I$35)
Calculation Debt,E25,Contingency 1 (£/kWh/yr),
Calculation Debt,H25,0,
Calculation Debt,E26,Contingency 2 (£/project/yr),
Calculation Debt,H26,0,
Calculation Debt,H27,P&L,
Calculation Debt,I27,Tax (ECA),
Calculation Debt,E28,Initial Cost - Depreciation (yrs),
Calculation Debt,H28,25,
Calculation Debt,I28,=1/8%,=1/8%
Calculation Debt,E29,Initial Cost - Depreciable Portion,
Calculation Debt,H29,1,
Calculation Debt,I29,1,
Calculation Debt,E30,Maintenance Capex - Depreciation (yrs),
Calculation Debt,H30,15,
Calculation Debt,I30,15,
Calculation Debt,E31,Maintenance Capex - Depreciable Portion,
Calculation Debt,H31,1,
Calculation Debt,I31,1,
Calculation Debt,E32,Tax Rate,
Calculation Debt,H32,0.25,
Calculation Debt,B42,P&L (year),
Calculation Debt,C42,0,
Calculation Debt,D42,1,
Calculation Debt,E42,2,
Calculation Debt,F42,3,
Calculation Debt,G42,4,
Calculation Debt,H42,5,
Calculation Debt,I42,6,
Calculation Debt,J42,7,
Calculation Debt,K42,8,
Calculation Debt,L42,9,
Calculation Debt,M42,10,
Calculation Debt,N42,11,
Calculation Debt,O42,12,
Calculation Debt,P42,13,
Calculation Debt,Q42,14,
Calculation Debt,R42,15,
Calculation Debt,S42,16,
Calculation Debt,T42,17,
Calculation Debt,U42,18,
Calculation Debt,V42,19,
Calculation Debt,W42,20,
Calculation Debt,X42,21,
Calculation Debt,Y42,22,
Calculation Debt,Z42,23,
Calculation Debt,AA42,24,
Calculation Debt,AB42,25,
Calculation Debt,B44,Generated kWh,
