turbine_id,latitude,longitude,overall_score,priority,remaining_fit_years,repowering_window,postcode,turbine_details
9299,57.126874191833586,-2.128132383239561,0.734,HIGH,4.876112251882272,URGENT,AB42,"{'age_years': 15.121149897330595, 'capacity_mw': 0.015, 'location': 'Aberdeenshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
9342,54.4867166322208,-3.4860479932794464,0.734,HIGH,4.898015058179329,URGENT,HX7 ,"{'age_years': 15.099247091033538, 'capacity_mw': 0.01, 'location': 'Calderdale - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
9372,55.02934106787573,-3.646906230149599,0.734,HIGH,4.903490759753593,URGENT,DG8 ,"{'age_years': 15.093771389459274, 'capacity_mw': 0.045, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
9373,55.029180967607424,-3.584479096336344,0.734,HIGH,4.1943874058863795,URGENT,DG12,"{'age_years': 15.80287474332649, 'capacity_mw': 0.006, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
9395,59.01871687288593,-2.9560084907952717,0.734,HIGH,4.117727583846681,URGENT,KW17,"{'age_years': 15.879534565366187, 'capacity_mw': 0.006, 'location': 'Orkney Islands - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
9414,50.68491534853055,-3.5506461086614993,0.734,HIGH,4.917180013689254,URGENT,EX33,"{'age_years': 15.080082135523615, 'capacity_mw': 0.022, 'location': 'North Devon - South West - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
9425,55.574827926051405,-4.654474868142499,0.734,HIGH,4.783025325119781,URGENT,KA18,"{'age_years': 15.214236824093087, 'capacity_mw': 0.015, 'location': 'East Ayrshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
9444,50.294143371477574,-5.020174553255305,0.734,HIGH,4.80766598220397,URGENT,TR20,"{'age_years': 15.189596167008897, 'capacity_mw': 0.0018, 'location': 'Cornwall - South West - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
9525,55.65482874126759,-4.641710171678114,0.734,HIGH,4.818617385352498,URGENT,KA24,"{'age_years': 15.178644763860369, 'capacity_mw': 0.015, 'location': 'North Ayrshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
9619,55.71976167695176,-3.75053245290436,0.734,HIGH,4.733744010951403,URGENT,ML11,"{'age_years': 15.263518138261464, 'capacity_mw': 0.011, 'location': 'South Lanarkshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
9729,50.733193100920424,-3.4879698150680083,0.734,HIGH,4.824093086926762,URGENT,EX5 ,"{'age_years': 15.173169062286105, 'capacity_mw': 0.015, 'location': 'Mid Devon - South West - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
9794,54.00654584611203,-0.9375484668393332,0.734,HIGH,4.731006160164271,URGENT,YO25,"{'age_years': 15.266255989048597, 'capacity_mw': 0.011, 'location': 'East Riding of Yorkshire - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
9888,53.425685119566275,-1.422206433452208,0.734,HIGH,4.862422997946612,URGENT,S75 ,"{'age_years': 15.134839151266256, 'capacity_mw': 0.006, 'location': 'Barnsley - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
9897,55.07536301629689,-3.6019023760118416,0.734,HIGH,4.865160848733744,URGENT,DG8 ,"{'age_years': 15.132101300479125, 'capacity_mw': 0.015, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
9904,57.16726415484053,-2.1015003896371836,0.734,HIGH,4.878850102669404,URGENT,AB42,"{'age_years': 15.118412046543463, 'capacity_mw': 0.015, 'location': 'Aberdeenshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
9967,55.02348266403145,-3.5937217306832894,0.734,HIGH,4.903490759753593,URGENT,DG8 ,"{'age_years': 15.093771389459274, 'capacity_mw': 0.015, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
