turbine_id,latitude,longitude,overall_score,priority,remaining_fit_years,repowering_window,postcode,turbine_details
6583,55.66574203941085,-4.49959733296584,0.734,HIGH,4.588637919233402,URGENT,KA1 ,"{'age_years': 15.408624229979466, 'capacity_mw': 0.013699999999999999, 'location': 'South Ayrshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6690,53.96924846515829,-1.1272142116003496,0.734,HIGH,4.747433264887063,URGENT,YO17,"{'age_years': 15.249828884325805, 'capacity_mw': 0.011, 'location': 'Ryedale - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6744,60.38189529869362,-1.1405862805805707,0.734,HIGH,4.607802874743326,URGENT,ZE2 ,"{'age_years': 15.38945927446954, 'capacity_mw': 0.02, 'location': 'Shetland Islands - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6775,53.810382415761026,-1.7627266459644693,0.734,HIGH,4.865160848733744,URGENT,BD19,"{'age_years': 15.132101300479125, 'capacity_mw': 0.011, 'location': 'Kirklees - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6789,57.17441780980931,-2.0850253765327205,0.734,HIGH,4.167008898015058,URGENT,AB54,"{'age_years': 15.83025325119781, 'capacity_mw': 0.015, 'location': 'Aberdeenshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6855,54.93992193858086,-3.5710967729302783,0.734,HIGH,4.903490759753593,URGENT,DG8 ,"{'age_years': 15.093771389459274, 'capacity_mw': 0.015, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6872,55.806681113706695,-4.277505345776578,0.734,HIGH,3.975359342915811,URGENT,G77 ,"{'age_years': 16.021902806297057, 'capacity_mw': 0.006, 'location': 'East Renfrewshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6880,53.63708341230482,-1.8814853230392805,0.734,HIGH,4.720054757015743,URGENT,HD6 ,"{'age_years': 15.277207392197125, 'capacity_mw': 0.005, 'location': 'Calderdale - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6888,53.6528040367086,-1.787543616629028,0.734,HIGH,4.837782340862423,URGENT,HD7 ,"{'age_years': 15.159479808350445, 'capacity_mw': 0.022, 'location': 'Kirklees - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6895,54.500047343417805,-3.5064368154899763,0.734,HIGH,4.9253935660506505,URGENT,HG5 ,"{'age_years': 15.071868583162217, 'capacity_mw': 0.01499, 'location': 'Harrogate - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6970,54.448385993883626,-3.589980547121932,0.734,HIGH,4.952772073921971,URGENT,HG5 ,"{'age_years': 15.044490075290897, 'capacity_mw': 0.02999, 'location': 'Harrogate - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
6988,53.290396503794824,-3.8599501764585877,0.734,HIGH,4.955509924709103,URGENT,LL18,"{'age_years': 15.041752224503764, 'capacity_mw': 0.005, 'location': 'Flintshire - Wales - Wales', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
7031,55.070378718571746,-3.4768208508952783,0.734,HIGH,4.632443531827516,URGENT,DG9 ,"{'age_years': 15.364818617385353, 'capacity_mw': 0.011, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
7090,53.93908851422546,-1.0987748567419955,0.734,HIGH,4.421629021218344,URGENT,YO14,"{'age_years': 15.575633127994525, 'capacity_mw': 0.022, 'location': 'Scarborough - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
7184,53.80815593331124,-1.583074751222829,0.734,HIGH,4.980150581793292,URGENT,LS21,"{'age_years': 15.017111567419576, 'capacity_mw': 0.011, 'location': 'Harrogate - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
7198,50.32855324303527,-5.222853607051277,0.734,HIGH,4.183436002737851,URGENT,TR4 ,"{'age_years': 15.813826146475018, 'capacity_mw': 0.005, 'location': 'Cornwall - South West - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
7335,55.08115754563591,-3.589343566323493,0.734,HIGH,4.511978097193703,URGENT,DG9 ,"{'age_years': 15.485284052019164, 'capacity_mw': 0.015, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
7457,55.960820295858156,-3.168377002600944,0.734,HIGH,4.48186173853525,URGENT,EH46,"{'age_years': 15.515400410677618, 'capacity_mw': 0.006, 'location': 'Scottish Borders - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
7493,53.81186715095655,-1.5444511403984846,0.734,HIGH,4.4517453798767965,URGENT,LS19,"{'age_years': 15.545516769336071, 'capacity_mw': 0.011, 'location': 'Leeds - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
7498,57.484589405101374,-4.268994392319801,0.734,HIGH,4.514715947980835,URGENT,IV27,"{'age_years': 15.482546201232033, 'capacity_mw': 0.006, 'location': 'Highland - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
